"Region","Species","Cscore","Dispersal_syndrome","Dispersal_unit_type","Photo_pathway","Growth_form","Growth_rate","Plant_lifespan_fac","Propagation_type","Resprout","Woodiness","Drought_tol","Fire_tol","Salt_tol","Shade_tol"
"Dakotas","Allium cernuum",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Allium drummondii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Allium geyeri",10,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Allium perdulce",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Allium stellatum",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Allium textile",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Allium tricoccum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Almutaster pauciflorus",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Alnus incana",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Alopecurus aequalis",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Alopecurus carolinianus",0,NA,NA,NA,"graminoid","moderate","annual",NA,"no","herbaceous","low","low","low","low"
"Dakotas","Alopecurus geniculatus",0,"animal","seed","c3","graminoid","moderate","perennial","seed and vegetative","no","herbaceous","low","low","medium","low"
"Dakotas","Amaranthus albus",0,"animal","seed","c4","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Amaranthus arenicola",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amaranthus graecizans",0,"animal","seed","c4","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Amaranthus retroflexus",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amaranthus tuberculatus",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Ambrosia acanthicarpa",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Ambrosia psilostachya",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Ambrosia trifida",0,"human","fruit","c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Amelanchier alnifolia",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amelanchier humilis",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amelanchier ovalis",6,"animal","seed","c3","shrub",NA,"perennial",NA,"yes","woody",NA,"low",NA,NA
"Dakotas","Ammannia auriculata",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Ammannia coccinea",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Ammannia robusta",2,NA,NA,NA,"forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Amorpha canescens",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amorpha fruticosa",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amorpha nana",9,"animal",NA,"c3","shrub",NA,NA,NA,NA,"woody",NA,NA,NA,NA
"Dakotas","Amphicarpaea bracteata",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amphiscirpus nevadensis ",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amsinckia intermedia",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Anagallis minima",6,"water","seed","c3","forb",NA,"annual","seed",NA,"herbaceous","low",NA,NA,"low"
"Dakotas","Andropogon gerardii",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Andropogon gerardii ssp. hallii",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Androsace occidentalis",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Androsace septentrionalis",5,NA,"seed","c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Anemone canadensis",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Anemone caroliniana",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Anemone cylindrica",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Anemone patens",9,"animal","fruit","c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Anemone quinquefolia",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Anemone virginiana",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Antennaria howellii ",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Antennaria microphylla",7,NA,NA,NA,"forb","slow","perennial",NA,"no","herbaceous","low","medium","low","low"
"Dakotas","Antennaria neglecta",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Antennaria parlinii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Antennaria parvifolia",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Anthoxanthum nitens",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Apios americana",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Apocynum cannabinum",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Aquilegia canadensis",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Arabis hirsuta",7,"water","seed","c3","forb",NA,"perennial","seed","no","herbaceous","low","medium",NA,"low"
"Dakotas","Arabis pycnocarpa",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Aralia nudicaulis",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Aralia racemosa",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Arctostaphylos uva-ursi",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Argemone polyanthemos",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Arisaema triphyllum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Aristida basiramea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Aristida oligantha",0,NA,NA,"c4","graminoid",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Aristida purpurea",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Arnica fulgens",10,NA,NA,NA,"forb","moderate","perennial",NA,"no","herbaceous","high","medium","low","high"
"Dakotas","Arnoglossum plantagineum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Artemisia campestris",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Artemisia cana",7,NA,NA,NA,"shrub","moderate","perennial",NA,"yes","woody","low","medium","low","low"
"Dakotas","Artemisia dracunculus",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Artemisia filifolia",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Artemisia frigida",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Artemisia longifolia",7,NA,NA,"c3","shrub",NA,NA,NA,NA,"woody",NA,NA,NA,NA
"Dakotas","Artemisia ludoviciana",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Artemisia tridentata",7,"self",NA,"c3","shrub","slow","perennial",NA,"no","woody","low","medium","low","low"
"Dakotas","Asarum canadense",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias arenaria",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias incarnata",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias lanuginosa",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias ovalifolia",9,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Asclepias pumila",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias speciosa",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias sullivantii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias syriaca",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias tuberosa",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias verticillata",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias viridiflora",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus agrestis",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus australis",9,"water",NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Astragalus barrii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus bisulcatus",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus canadensis",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus ceramicus",10,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Astragalus crassicarpus",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus drummondii",10,NA,NA,NA,"forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Astragalus flexuosus",4,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Astragalus gilviflorus",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus gracilis",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus kentrophyta",10,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Astragalus laxmannii var. robustior",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus lotiflorus",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus missouriensis",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus mollissimus",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus multiflorus",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus neglectus",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus pectinatus",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus plattensis",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus purshii",10,NA,NA,"c3","forb","moderate","perennial",NA,"no","herbaceous","low","medium","low","low"
"Dakotas","Astragalus racemosus",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus spatulatus",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus vexilliflexus",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Athyrium filix-femina ",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Atriplex argentea",6,NA,NA,"c4","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Atriplex canescens",6,"wind",NA,"c4","shrub","slow","perennial",NA,"yes","woody","low","low","high","low"
"Dakotas","Atriplex confertifolia",8,"wind",NA,"c4","shrub","slow","perennial",NA,"no","woody","low","medium","high","low"
"Dakotas","Atriplex micrantha",0,"human","fruit","c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Atriplex powellii",5,NA,NA,"c4","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Avenula hookeri ",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Azolla filiculoides",10,NA,"spore","c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Bacopa rotundifolia",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Beckmannia syzigachne",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Berberis repens ",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Bergia texana",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Berula erecta",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Betula glandulosa",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Betula occidentalis",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Betula papyrifera",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Bidens cernua",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Bidens connata",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Bidens frondosa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Bidens tripartita",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Bidens vulgata",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Boechera canadensis",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Boechera dentata",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Boechera divaricarpa",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Boechera holboellii",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Boechera stricta",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Boehmeria cylindrica",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Bolboschoenus fluviatilis ",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Bolboschoenus maritimus",4,"water","seed","c3","graminoid","moderate","perennial",NA,"no","herbaceous","low","medium","medium","low"
"Dakotas","Boltonia asteroides",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Botrychium campestre",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Botrychium minganense",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Botrychium multifidum",10,NA,"spore","c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Botrychium simplex",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Botrychium virginianum",7,NA,"spore","c3","forb","moderate","perennial",NA,"no","herbaceous","high","medium","low","high"
"Dakotas","Bouteloua curtipendula",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Bouteloua dactyloides",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Bouteloua gracilis",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Bouteloua hirsuta",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Brickellia eupatorioides",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Bromus ciliatus",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Bromus kalmii",8,NA,NA,"c3","forb","fast","perennial",NA,"no","herbaceous","high","medium","low","high"
"Dakotas","Bromus latiglumis",8,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Bromus porteri",8,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Bromus squarrosus",8,"wind","seed","c3","graminoid",NA,"annual",NA,"no","herbaceous",NA,"low",NA,NA
"Dakotas","Calamagrostis canadensis",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Calamagrostis montanensis",8,NA,NA,"c3","graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Calamagrostis stricta",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Calamovilfa longifolia",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Calla palustris",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Callirhoe involucrata",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Callitriche hermaphroditica",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Callitriche heterophylla",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Callitriche palustris",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Calochortus gunnisonii",8,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Calochortus nuttallii",8,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Caltha palustris",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Calystegia macounii",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Calystegia sepium",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Campanula americana",8,NA,NA,"c3","forb","fast","annual",NA,"no","herbaceous","high","low","low","high"
"Dakotas","Campanula aparinoides",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Campanula rotundifolia",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Cardamine bulbosa",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Cardamine concatenata",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Cardamine pensylvanica",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex aggregata",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex alopecoidea",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex amphibola",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex aquatilis",10,"water","seed","c3","graminoid","moderate","perennial",NA,"no","herbaceous","low","medium","low","low"
"Dakotas","Carex assiniboinensis",8,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Carex atherodes",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex athrostachya",7,NA,NA,NA,"graminoid","slow","perennial",NA,"no","herbaceous","medium","medium","low","medium"
"Dakotas","Carex aurea",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex backii",10,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Carex bebbii",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex bicknellii",8,NA,NA,NA,"forb","moderate","perennial",NA,"no","herbaceous","high","medium","low","high"
"Dakotas","Carex blanda",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex brevior",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex brunnescens",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex buxbaumii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex capillaris",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex chordorrhiza",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex comosa",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex concinna",10,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Carex crawei",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex cristatella",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex davisii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex deweyana",10,NA,NA,NA,"graminoid","moderate","perennial",NA,"no","herbaceous","high","medium","low","high"
"Dakotas","Carex diandra",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex disperma",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex douglasii",5,NA,NA,NA,"graminoid","slow","perennial",NA,"no","herbaceous","low","medium","medium","low"
"Dakotas","Carex duriuscula",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Carex eburnea",10,NA,NA,NA,"graminoid",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Carex emoryi",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
