"Region","Species","Cscore","SLA_no_pet","SLA_with_pet","LDMC","LeafN","Veg_height","Plant_lifespan_yrs","Seed_dry_mass","Germ_rate","Drought_tol_Mpa","Dispersal_syndrome","Dispersal_unit_type","Photo_pathway","Growth_form","Growth_rate","Plant_lifespan_fac","Propagation_type","Resprout","Woodiness","Drought_tol","Fire_tol","Salt_tol","Shade_tol"
"Dakotas","Agalinis aspera",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agalinis tenuifolia",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agastache foeniculum",7,NA,NA,NA,27.3,NA,NA,0.276666666666667,89,NA,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Agastache nepetoides",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agastache scrophulariifolia",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Ageratina altissima",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agoseris glauca",8,19.7140632635317,NA,0.17155,17.172,0.135254545454545,NA,1.27389561766736,NA,NA,NA,NA,"c3","forb","fast","perennial",NA,"no",NA,"low","medium","low","low"
"Dakotas","Agrimonia gryposepala",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agrimonia striata",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agrohordeum macounii",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agrostis exarata",10,NA,NA,NA,NA,0.9144,NA,0.0961749482401656,NA,NA,NA,NA,"c3","graminoid","moderate","perennial",NA,"no","herbaceous","low","medium","low","low"
"Dakotas","Agrostis hyemalis",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agrostis perennans",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Agrostis scabra",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Alisma gramineum",2,NA,NA,NA,NA,0.26965,NA,0.4565,60,NA,"water","seed","c3","forb","moderate","perennial","seed","no","herbaceous","low","high","low","low"
"Dakotas","Alisma subcordatum",2,27.8538812785388,NA,0.161197430255,36.3,0.1524,NA,0.548967940272288,NA,NA,NA,NA,NA,"forb","moderate","perennial",NA,"no","herbaceous","low","medium","low","low"
"Dakotas","Alisma triviale",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Allium canadense",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Allium cernuum",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Allium drummondii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Allium geyeri",10,NA,NA,NA,NA,0.0562,NA,2.34,83.3333333333333,NA,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Allium perdulce",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Allium stellatum",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Allium textile",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Allium tricoccum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Almutaster pauciflorus",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Alnus incana",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Alopecurus aequalis",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Alopecurus carolinianus",0,19.6774193548387,NA,NA,29.68,0.51816,NA,0.814565738713377,NA,-4.2,NA,NA,NA,"graminoid","moderate","annual",NA,"no","herbaceous","low","low","low","low"
"Dakotas","Alopecurus geniculatus",0,31.9490146415385,23.234296,0.21509944175,NA,0.309137190081818,1,0.302741522889349,93,NA,"animal","seed","c3","graminoid","moderate","perennial","seed and vegetative","no","herbaceous","low","low","medium","low"
"Dakotas","Amaranthus albus",0,NA,NA,NA,NA,0.355555555555556,1,0.328022222222222,100,NA,"animal","seed","c4","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Amaranthus arenicola",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amaranthus graecizans",0,NA,NA,NA,NA,0.375,1,0.523636363636364,NA,NA,"animal","seed","c4","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Amaranthus retroflexus",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amaranthus tuberculatus",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Ambrosia acanthicarpa",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Ambrosia psilostachya",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Ambrosia trifida",0,24.1169642857143,26.296,0.188655,40.08,1.00555555555556,1,10.8691538461538,NA,NA,"human","fruit","c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Amelanchier alnifolia",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amelanchier humilis",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amelanchier ovalis",6,11.4142857142857,11.184,NA,NA,2.08172413793103,40,56.2079166666667,80,NA,"animal","seed","c3","shrub",NA,"perennial",NA,"yes","woody",NA,"low",NA,NA
"Dakotas","Ammannia auriculata",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Ammannia coccinea",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Ammannia robusta",2,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,"forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Amorpha canescens",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amorpha fruticosa",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amorpha nana",9,NA,NA,NA,NA,NA,NA,2.45,NA,NA,"animal",NA,"c3","shrub",NA,NA,NA,NA,"woody",NA,NA,NA,NA
"Dakotas","Amphicarpaea bracteata",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amphiscirpus nevadensis ",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Amsinckia intermedia",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Anagallis minima",6,NA,71.618,0.124206,NA,0.0397222222222222,1,0.0372647058823529,NA,NA,"water","seed","c3","forb",NA,"annual","seed",NA,"herbaceous","low",NA,NA,"low"
"Dakotas","Andropogon gerardii",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Andropogon gerardii ssp. hallii",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Androsace occidentalis",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Androsace septentrionalis",5,30.841235063562,24.082,0.153813636363636,19.4925,0.0330952380952381,1.33333333333333,0.179333333333333,100,NA,NA,"seed","c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Anemone canadensis",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Anemone caroliniana",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Anemone cylindrica",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Anemone patens",9,NA,NA,NA,NA,0.21875,12,1.96,NA,NA,"animal","fruit","c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Anemone quinquefolia",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Anemone virginiana",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Antennaria howellii ",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Antennaria microphylla",7,NA,NA,NA,NA,0.3048,NA,0.0566123188405797,NA,NA,NA,NA,NA,"forb","slow","perennial",NA,"no","herbaceous","low","medium","low","low"
"Dakotas","Antennaria neglecta",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Antennaria parlinii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Antennaria parvifolia",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Anthoxanthum nitens",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Apios americana",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Apocynum cannabinum",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Aquilegia canadensis",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Arabis hirsuta",7,27.0538011695906,NA,0.166,21.66,0.376296296296296,2,0.100473913043478,100,NA,"water","seed","c3","forb",NA,"perennial","seed","no","herbaceous","low","medium",NA,"low"
"Dakotas","Arabis pycnocarpa",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Aralia nudicaulis",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Aralia racemosa",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Arctostaphylos uva-ursi",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Argemone polyanthemos",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Arisaema triphyllum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Aristida basiramea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Aristida oligantha",0,16.2006058275917,NA,0.61097256858,14.63,NA,NA,2.81,95,NA,NA,NA,"c4","graminoid",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Aristida purpurea",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Arnica fulgens",10,NA,NA,NA,NA,0.6096,NA,1.00644122383253,NA,NA,NA,NA,NA,"forb","moderate","perennial",NA,"no","herbaceous","high","medium","low","high"
"Dakotas","Arnoglossum plantagineum",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Artemisia campestris",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Artemisia cana",7,NA,NA,NA,NA,1.524,NA,0.400022744333188,NA,NA,NA,NA,NA,"shrub","moderate","perennial",NA,"yes","woody","low","medium","low","low"
"Dakotas","Artemisia dracunculus",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Artemisia filifolia",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Artemisia frigida",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Artemisia longifolia",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c3","shrub",NA,NA,NA,NA,"woody",NA,NA,NA,NA
"Dakotas","Artemisia ludoviciana",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Artemisia tridentata",7,9.74402937561449,NA,0.331585354161124,14.4310415384615,1.00143181818182,30.6666666666667,0.194816727225253,NA,NA,"self",NA,"c3","shrub","slow","perennial",NA,"no","woody","low","medium","low","low"
"Dakotas","Asarum canadense",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias arenaria",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias incarnata",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias lanuginosa",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias ovalifolia",9,NA,NA,NA,22.4486,NA,NA,4.15,NA,NA,NA,NA,"c3","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Asclepias pumila",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias speciosa",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias sullivantii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias syriaca",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias tuberosa",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias verticillata",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Asclepias viridiflora",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus agrestis",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus australis",9,NA,NA,NA,NA,0.15,NA,3.11,NA,NA,"water",NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Astragalus barrii",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus bisulcatus",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus canadensis",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus ceramicus",10,NA,NA,NA,NA,NA,NA,4.41,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Astragalus crassicarpus",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus drummondii",10,NA,12.4421848,0.236413,NA,NA,NA,4.55,NA,NA,NA,NA,NA,"forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Astragalus flexuosus",4,NA,NA,NA,NA,NA,NA,1.60384615384615,NA,NA,NA,NA,"c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Astragalus gilviflorus",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus gracilis",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus kentrophyta",10,NA,NA,NA,NA,NA,NA,5.03,NA,NA,NA,NA,NA,"forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Astragalus laxmannii var. robustior",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus lotiflorus",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus missouriensis",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus mollissimus",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus multiflorus",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus neglectus",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus pectinatus",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus plattensis",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus purshii",10,NA,NA,NA,NA,0.18288,NA,3.77415458937198,NA,NA,NA,NA,"c3","forb","moderate","perennial",NA,"no","herbaceous","low","medium","low","low"
"Dakotas","Astragalus racemosus",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus spatulatus",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Astragalus vexilliflexus",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Athyrium filix-femina ",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Atriplex argentea",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c4","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Atriplex canescens",6,NA,110.474303020288,0.0651724081105259,21.6142857142857,1.18203333333333,70,9.55176039092465,87.5,NA,"wind",NA,"c4","shrub","slow","perennial",NA,"yes","woody","low","low","high","low"
"Dakotas","Atriplex confertifolia",8,NA,NA,NA,14.7268718026667,0.9144,NA,6.98115690049091,NA,NA,"wind",NA,"c4","shrub","slow","perennial",NA,"no","woody","low","medium","high","low"
"Dakotas","Atriplex micrantha",0,18.76,17.43,0.178934,NA,0.811428571428571,1,NA,NA,NA,"human","fruit","c3","forb",NA,"annual",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Atriplex powellii",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c4","forb",NA,NA,NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Avenula hookeri ",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Azolla filiculoides",10,15.4,20.726,0.0944233333333333,NA,0.0175,1,NA,NA,NA,NA,"spore","c3","forb",NA,"perennial",NA,NA,"herbaceous",NA,NA,NA,NA
"Dakotas","Bacopa rotundifolia",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Beckmannia syzigachne",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Berberis repens ",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Bergia texana",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Berula erecta",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Betula glandulosa",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakotas","Betula occidentalis",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
